0;(3,0,8,0);(2,0,4,2);(1,0,2,1);(6,1,8,0);(5,1,6,0);(4,1,1,0);(7,2,5,0);(9,3,7,0);(8,3,5,0)
1;(3,0,9,0);(1,0,3,0);(6,1,9,0);(5,1,7,0);(2,1,4,0);(4,1,2,0);(7,2,6,0);(9,3,8,0);(8,3,6,0)
2;(3,0,10,0);(1,0,4,0);(6,1,10,0);(5,1,8,0);(2,1,5,0);(4,1,3,0);(7,2,7,2);(9,3,9,0);(8,3,7,0)
3;(3,0,11,0);(1,0,5,0);(6,1,11,0);(5,1,9,0);(2,1,6,0);(4,1,4,0);(7,2,8,0);(9,3,10,0);(8,3,8,0)
4;(3,0,12,0);(1,0,6,0);(6,1,12,2);(5,1,10,0);(2,1,7,0);(4,1,5,0);(7,2,9,0);(9,3,11,0);(8,3,9,0)
5;(3,0,13,0);(1,0,7,0);(5,1,11,0);(2,1,8,0);(4,1,6,0);(6,2,12,0);(7,2,10,0);(9,3,12,1);(8,3,10,0)
6;(3,0,14,0);(1,0,8,0);(5,1,12,0);(2,1,9,0);(4,1,7,0);(6,2,13,0);(9,2,12,0);(7,2,11,0);(8,3,11,0)
7;(3,0,15,0);(1,0,9,0);(5,1,13,0);(2,1,10,0);(4,1,8,0);(6,2,14,0);(9,2,13,0);(7,2,12,0);(8,3,12,0)
8;(3,0,16,0);(1,0,10,0);(5,1,14,1);(2,1,11,0);(4,1,9,0);(6,2,15,0);(9,2,14,0);(7,2,13,0);(8,3,13,0)
9;(3,0,17,0);(5,0,14,0);(1,0,11,0);(2,1,12,0);(4,1,10,0);(6,2,16,0);(9,2,15,0);(7,2,14,0);(8,3,14,0)
10;(3,0,18,0);(5,0,15,0);(1,0,12,0);(2,1,13,0);(4,1,11,0);(6,2,17,0);(9,2,16,0);(7,2,15,0);(8,3,15,0)
11;(3,0,19,0);(5,0,16,0);(1,0,13,0);(2,1,14,0);(4,1,12,0);(6,2,18,0);(9,2,17,0);(7,2,16,0);(8,3,16,0)
12;(3,0,20,0);(5,0,17,0);(1,0,14,0);(2,1,15,0);(4,1,13,0);(6,2,19,0);(9,2,18,0);(7,2,17,0);(8,3,17,0)
13;(3,0,21,0);(5,0,18,0);(1,0,15,0);(2,1,16,0);(4,1,14,0);(6,2,20,0);(9,2,19,0);(7,2,18,0);(8,3,18,0)
14;(3,0,22,0);(5,0,19,0);(1,0,16,0);(2,1,17,0);(4,1,15,0);(6,2,21,0);(9,2,20,0);(7,2,19,0);(8,3,19,0)
15;(3,0,23,0);(5,0,20,0);(1,0,17,0);(2,1,18,0);(4,1,16,0);(6,2,22,0);(9,2,21,0);(7,2,20,0);(8,3,20,0)
16;(3,0,24,0);(5,0,21,0);(1,0,18,0);(2,1,19,0);(4,1,17,0);(6,2,23,0);(9,2,22,0);(7,2,21,0);(8,3,21,0)
